timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
89996696,89887219,34369178311,0.0064522377,0.029299846,0.04625905,0,0.33229554,0.25524834,0.0,0.06727948,0.017352462,0.042375,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,60.87502,58.358376,0.37979802,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
90192419,90086611,34369178311,0.015675839,0.035803095,0.050158974,0,0.3322159,0.25540102,0.0,0.084000275,0.019551553,0.027265204,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,67.87533,58.358376,0.32933262,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
90402101,90296640,34369178311,0.00820951,0.024299432,0.039961543,0,0.33291617,0.25607505,0.0,0.09486365,0.020878619,0.03282539,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,65.6733,58.358376,0.3507691,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
90601571,90496087,34369178311,0.009445372,0.01961275,0.03750709,0,0.33264044,0.25624803,0.0,0.09107337,0.020047031,0.030263474,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,56.886482,58.358376,0.35754842,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
90801547,90695499,34369178311,0.0016308202,0.018119149,0.028664732,0,0.33248088,0.25645763,0.0,0.07779978,0.024825428,0.031276487,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,60.023113,58.358376,0.34965873,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
91000501,90894961,34369178311,0.004114555,0.019971574,0.03051084,0,0.33230802,0.25667924,0.0,0.049393333,0.027057204,0.028167883,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,65.61432,58.358376,0.31958157,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
91200006,91094437,34369178311,0.003607201,0.010514385,0.020205729,0,0.332141,0.25690368,0.0,0.05848674,0.027466308,0.037254684,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,63.722485,58.358376,0.3482419,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
91390101,91283371,34369178311,0.002281062,0.009211652,0.01563494,0,0.33111084,0.2566228,0.0,0.1060385,0.027056174,0.033030897,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,62.914803,58.358376,0.42698982,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
91599113,91493390,34369178311,0.005643113,0.011020306,0.014014648,0,0.33158603,0.2573089,0.0,0.081352495,0.029872388,0.029182818,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,65.37735,58.358376,0.39176208,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
91798409,91692801,34369178311,0.0070744012,0.012366651,0.019761376,0,0.33120298,0.25747293,0.0,0.07302747,0.028559167,0.036982123,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,64.223946,58.358376,0.36132756,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
