timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
95004192,32767,32767,32767,29,32767,32767
95009193,32767,32767,32767,32767,32767,32767
95014193,32767,32767,32767,32767,32767,32767
95019068,32767,32767,32767,-20,-6,32767
95024219,32767,32767,32767,32767,32767,32767
95029342,32767,32767,32767,32767,32767,32767
95034193,32767,32767,32767,32767,32767,32767
95039193,32767,32767,32767,32767,32767,32767
95044068,32767,32767,32767,32767,32767,32767
95049342,32767,32767,32767,32767,32767,32767
95054194,32767,32767,32767,32767,32767,32767
95059194,32767,32767,32767,32767,32767,32767
95064068,32767,32767,32767,32767,32767,32767
95069270,32767,32767,32767,32767,32767,32767
95074469,32767,32767,32767,32767,32767,32767
95079193,32767,32767,32767,32767,32767,32767
95084194,32767,32767,32767,32767,32767,32767
95089073,32767,32767,32767,32767,32767,32767
95094361,32767,32767,32767,32767,32767,32767
95099193,32767,32767,32767,-7,32767,32767
95104068,32767,32767,32767,32767,32767,32767
95109068,32767,32767,32767,32767,-25,32767
95114247,32767,32767,32767,32767,32767,32767
95119450,32767,32767,32767,-9,32767,32767
95124194,32767,32767,32767,32767,32767,32767
95129068,32767,32767,32767,32767,32767,32767
95134068,32767,32767,32767,32767,32767,32767
95139436,32767,32767,32767,32767,32767,32767
95144193,32767,32767,32767,32767,32767,32767
95149192,32767,32767,32767,32767,32767,32767
95154068,32767,32767,32767,32767,32767,32767
95159319,32767,32767,32767,32767,-30,32767
95164530,32767,32767,32767,32767,32767,32767
95169194,32767,32767,32767,32767,32767,32767
95174193,32767,32767,32767,32767,32767,32767
95179068,32767,32767,32767,32767,32767,32767
95184302,32767,32767,32767,32767,32767,32767
95189069,32767,32767,32767,32767,32767,32767
95194112,32767,32767,32767,32767,32767,32767
95199068,32767,32767,32767,32767,32767,32767
95204310,32767,32767,32767,32767,32767,32767
95209194,32767,32767,32767,32767,32767,32767
95214069,32767,32767,32767,-42,32767,32767
95219069,32767,32767,32767,32767,32767,32767
95224199,32767,32767,32767,-42,32767,32767
95229506,32767,32767,32767,32767,32767,32767
95234193,32767,32767,32767,32767,32767,32767
95239068,32767,32767,32767,32767,32767,32767
95244068,32767,32767,32767,32767,-7,32767
95249230,32767,32767,32767,32767,32767,32767
95254193,32767,32767,32767,32767,32767,32767
95259193,32767,32767,32767,32767,32767,32767
95264068,32767,32767,32767,32767,32767,32767
95269236,32767,32767,32767,32767,32767,32767
95274472,32767,32767,32767,32767,32767,32767
95279193,32767,32767,32767,32767,32767,32767
95284193,32767,32767,32767,32767,32767,32767
95289068,32767,32767,32767,32767,32767,32767
95294246,32767,32767,32767,32767,0,32767
95299193,32767,32767,32767,32767,32767,32767
95304194,32767,32767,32767,-31,32767,32767
95309193,32767,32767,32767,32767,32767,32767
95314086,32767,32767,32767,32767,32767,32767
95319583,32767,32767,32767,15,32767,32767
95324193,32767,32767,32767,32767,32767,32767
95329193,32767,32767,32767,32767,32767,32767
95334068,32767,32767,32767,32767,32767,32767
95339294,32767,32767,32767,32767,32767,32767
95344193,32767,32767,32767,32767,32767,32767
95349068,32767,32767,32767,32767,32767,32767
95354068,32767,32767,32767,32767,32767,32767
95359238,32767,32767,32767,32767,32767,32767
95364468,32767,32767,32767,32767,32767,32767
95369194,32767,32767,32767,32767,32767,32767
95374068,32767,32767,32767,32767,32767,32767
95379075,32767,32767,32767,32767,32767,32767
95384454,32767,32767,32767,32767,-30,32767
95389194,32767,32767,32767,32767,32767,32767
95394094,32767,32767,32767,32767,32767,32767
95399079,32767,32767,32767,32767,32767,32767
95404318,32767,32767,32767,32767,32767,32767
95409444,32767,32767,32767,32767,32767,32767
95414193,32767,32767,32767,-16,32767,32767
95419193,32767,32767,32767,32767,32767,32767
95424069,32767,32767,32767,-12,32767,32767
95429327,32767,32767,32767,32767,21,32767
95434068,32767,32767,32767,32767,32767,32767
95439068,32767,32767,32767,32767,32767,32767
95444195,32767,32767,32767,32767,32767,32767
95449205,32767,32767,32767,32767,32767,32767
95454433,32767,32767,32767,32767,32767,32767
95459068,32767,32767,32767,32767,32767,32767
95464099,32767,32767,32767,32767,32767,32767
95469193,32767,32767,32767,32767,32767,32767
95474465,32767,32767,32767,32767,32767,32767
95479193,32767,32767,32767,32767,32767,32767
95484068,32767,32767,32767,32767,32767,32767
95489103,32767,32767,32767,32767,32767,32767
95494210,32767,32767,32767,32767,32767,32767
95499194,32767,32767,32767,32767,32767,32767
95504194,32767,32767,32767,-5,32767,32767
95509069,32767,32767,32767,32767,32767,32767
95514090,32767,32767,32767,32767,32767,32767
95519514,32767,32767,32767,32767,-3,32767
95524194,32767,32767,32767,-4,32767,32767
95529194,32767,32767,32767,32767,32767,32767
95534068,32767,32767,32767,32767,32767,32767
95539233,32767,32767,32767,32767,32767,32767
95544193,32767,32767,32767,32767,32767,32767
95549194,32767,32767,32767,32767,32767,32767
95554096,32767,32767,32767,32767,32767,32767
95559068,32767,32767,32767,32767,32767,32767
95564546,32767,32767,32767,32767,32767,32767
95569089,32767,32767,32767,32767,2,32767
95574069,32767,32767,32767,32767,32767,32767
95579068,32767,32767,32767,32767,32767,32767
95584278,32767,32767,32767,32767,32767,32767
95589193,32767,32767,32767,32767,32767,32767
95594068,32767,32767,32767,32767,32767,32767
95599068,32767,32767,32767,32767,32767,32767
95604100,32767,32767,32767,32767,32767,32767
95609554,32767,32767,32767,32767,32767,32767
95614194,32767,32767,32767,32767,32767,32767
95619068,32767,32767,32767,-39,32767,32767
95624069,32767,32767,32767,32767,32767,32767
95629278,32767,32767,32767,-38,32767,32767
95634194,32767,32767,32767,32767,32767,32767
95639193,32767,32767,32767,32767,32767,32767
95644069,32767,32767,32767,32767,32767,32767
95654430,32767,32767,32767,32767,32767,32767
95659193,32767,32767,32767,32767,-29,32767
95664194,32767,32767,32767,32767,32767,32767
95669068,32767,32767,32767,32767,32767,32767
95674416,32767,32767,32767,32767,32767,32767
95679195,32767,32767,32767,32767,32767,32767
95684193,32767,32767,32767,32767,32767,32767
95689193,32767,32767,32767,32767,32767,32767
95694287,32767,32767,32767,32767,32767,32767
95699193,32767,32767,32767,32767,32767,32767
95704068,32767,32767,32767,32767,32767,32767
95709069,32767,32767,32767,-26,-31,32767
95714193,32767,32767,32767,32767,32767,32767
95719473,32767,32767,32767,32767,32767,32767
95724193,32767,32767,32767,32767,32767,32767
95729069,32767,32767,32767,-21,32767,32767
95734069,32767,32767,32767,32767,32767,32767
95739198,32767,32767,32767,32767,32767,32767
95744451,32767,32767,32767,32767,32767,32767
95749193,32767,32767,32767,32767,32767,32767
95754069,32767,32767,32767,32767,32767,32767
95759068,32767,32767,32767,32767,32767,32767
95764477,32767,32767,32767,32767,32767,32767
95769193,32767,32767,32767,32767,32767,32767
95774193,32767,32767,32767,32767,32767,32767
95779068,32767,32767,32767,32767,32767,32767
95784230,32767,32767,32767,32767,32767,32767
95789193,32767,32767,32767,32767,32767,32767
95794193,32767,32767,32767,32767,-10,32767
95799193,32767,32767,32767,32767,32767,32767
95804123,32767,32767,32767,32767,32767,32767
95809491,32767,32767,32767,32767,32767,32767
95814193,32767,32767,32767,32767,32767,32767
95819194,32767,32767,32767,-13,32767,32767
95824194,32767,32767,32767,32767,32767,32767
95829381,32767,32767,32767,-12,32767,32767
95834194,32767,32767,32767,32767,32767,32767
95839068,32767,32767,32767,32767,32767,32767
95844069,32767,32767,32767,32767,32767,32767
95849296,32767,32767,32767,32767,-46,32767
95854410,32767,32767,32767,32767,32767,32767
95859193,32767,32767,32767,32767,32767,32767
95864071,32767,32767,32767,32767,32767,32767
95869068,32767,32767,32767,32767,32767,32767
95874264,32767,32767,32767,32767,32767,32767
95879193,32767,32767,32767,32767,32767,32767
95884193,32767,32767,32767,32767,32767,32767
95889068,32767,32767,32767,32767,32767,32767
95894268,32767,32767,32767,32767,32767,32767
95899193,32767,32767,32767,32767,32767,32767
95904193,32767,32767,32767,32767,32767,32767
95909192,32767,32767,32767,-1,32767,32767
95914068,32767,32767,32767,32767,32767,32767
95919327,32767,32767,32767,32767,32767,32767
95924069,32767,32767,32767,32767,32767,32767
95929069,32767,32767,32767,32767,32767,32767
95934218,32767,32767,32767,-47,-31,32767
95939199,32767,32767,32767,32767,32767,32767
95944443,32767,32767,32767,32767,32767,32767
95949069,32767,32767,32767,32767,32767,32767
95954068,32767,32767,32767,32767,32767,32767
95959075,32767,32767,32767,32767,32767,32767
95964330,32767,32767,32767,32767,32767,32767
95969194,32767,32767,32767,32767,32767,32767
95974068,32767,32767,32767,32767,32767,32767
95979068,32767,32767,32767,32767,32767,32767
95984301,32767,32767,32767,32767,-32,32767
95989193,32767,32767,32767,32767,32767,32767
95994193,32767,32767,32767,32767,32767,32767
95999068,32767,32767,32767,32767,32767,32767
96004074,32767,32767,32767,32767,32767,32767
96009490,32767,32767,32767,32767,32767,32767
96014143,32767,32767,32767,32767,32767,32767
96019193,32767,32767,32767,32767,32767,32767
96024069,32767,32767,32767,-30,32767,32767
96029301,32767,32767,32767,17,32767,32767
96034193,32767,32767,32767,32767,32767,32767
96039203,32767,32767,32767,32767,32767,32767
96044113,32767,32767,32767,32767,32767,32767
96049113,32767,32767,32767,32767,32767,32767
96054510,32767,32767,32767,32767,32767,32767
96059193,32767,32767,32767,32767,32767,32767
96064193,32767,32767,32767,32767,32767,32767
96069079,32767,32767,32767,32767,-9,32767
96074380,32767,32767,32767,32767,32767,32767
96079193,32767,32767,32767,32767,32767,32767
96084068,32767,32767,32767,32767,32767,32767
96089068,32767,32767,32767,32767,32767,32767
96094116,32767,32767,32767,32767,32767,32767
96099543,32767,32767,32767,32767,32767,32767
96104193,32767,32767,32767,32767,32767,32767
96109069,32767,32767,32767,32767,32767,32767
96114068,32767,32767,32767,-17,32767,32767
96119266,32767,32767,32767,32767,-2,32767
96124193,32767,32767,32767,32767,32767,32767
96129194,32767,32767,32767,32767,32767,32767
96134069,32767,32767,32767,-14,32767,32767
96139102,32767,32767,32767,32767,32767,32767
