timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
92355887,92318487,8944899,-0.04007512,0.18174165,0.34674412,3
92406748,92387500,8944899,-0.032056652,0.119425915,0.31657457,3
92493990,92456470,8944899,0.00477066,0.17923135,0.357803,3
92544112,92524948,8944899,-0.06609521,0.20749977,0.27923667,3
92631987,92593625,8944899,0.0057458337,0.16774715,0.3084382,3
92681784,92662912,8944899,0.043604657,0.15718389,0.3619905,3
92768704,92731359,8944899,-0.050057523,0.17689456,0.34890464,3
92818436,92799839,8944899,0.047378644,0.21674162,0.3481128,3
92906800,92868691,8944899,0.02370026,0.15433355,0.3445169,3
92956608,92937823,8944899,-0.06340095,0.14619455,0.30729145,3
93043600,93006347,8944899,-0.0041594915,0.13947482,0.31481826,3
93093594,93074885,8944899,0.013697227,0.18758783,0.40184823,3
93181713,93143733,8944899,-0.057131775,0.2131783,0.3180256,3
93231436,93212775,8944899,-0.01608399,0.1735994,0.30599147,3
93318386,93281122,8944899,0.016196499,0.18250754,0.35551018,3
93368312,93349937,8944899,-0.09560784,0.20743546,0.27822593,3
93456389,93418875,8944899,0.020776277,0.24497327,0.27314305,3
93506075,93487429,8944899,0.01919438,0.20088519,0.36560893,3
93593985,93556119,8944899,-0.02838613,0.1664513,0.3494298,3
93644192,93624963,8944899,0.0015552901,0.15123461,0.2645486,3
93731191,93693984,8944899,-0.032660224,0.21140677,0.3162324,3
93781099,93762464,8944899,0.03760265,0.17603219,0.29191244,3
93869153,93831107,8944899,-0.0012367242,0.225318,0.34480688,3
93918947,93900244,8944899,0.024543632,0.1658477,0.3390348,3
94006103,93968927,8944899,0.009289577,0.1848468,0.31050318,3
94055731,94037157,8944899,-0.028749757,0.2872305,0.31498426,3
94144939,94106765,8944899,-0.022729171,0.24830195,0.29980728,3
94193756,94175167,8944899,-0.0011005676,0.19451264,0.3866367,3
94280785,94243453,8944899,-0.045244712,0.23131007,0.33111912,3
94331662,94312689,8944899,0.036037426,0.17688279,0.26258418,3
94418860,94381534,8944899,0.02024207,0.18082277,0.3430148,3
94468612,94450093,8944899,-0.04865247,0.22537911,0.31389388,3
94555759,94518488,8944899,-0.06346774,0.118913315,0.30510968,3
94606599,94587727,8944899,-0.0013329163,0.114118434,0.3896104,3
94693586,94656301,8944899,-0.073882386,0.1761709,0.35178432,3
94743569,94724823,8944899,-0.011314642,0.10024757,0.32274696,3
94831663,94793639,8944899,-0.012888313,0.14937015,0.35098907,3
94881389,94862743,8944899,-0.07721917,0.20220849,0.32057488,3
94969234,94931308,8944899,0.004271126,0.16043441,0.3059441,3
95018405,94999663,8944899,-0.050386913,0.17503059,0.35341677,3
95106501,95068866,8944899,-0.054620154,0.22615233,0.33820954,3
95156381,95137995,8944899,-0.034696918,0.12008303,0.2830171,3
95243373,95206142,8944899,-0.025318407,0.1963909,0.31955782,3
95294236,95274736,8944899,0.048175517,0.15940784,0.34491163,3
95381465,95344278,8944899,-0.0467005,0.16900249,0.34989372,3
95431462,95412609,8944899,-0.05186095,0.18969594,0.35655206,3
95519234,95480985,8944899,0.011416244,0.14531392,0.32095993,3
95569254,95550163,8944899,-0.058175683,0.26972225,0.29363805,3
95656248,95618942,8944899,-0.022074012,0.16908687,0.30877241,3
95705957,95687286,8944899,-0.020937163,0.18892807,0.3872851,3
95793152,95755968,8944899,-0.11439316,0.14831033,0.3202451,3
95844672,95825505,8944899,-0.037008524,0.120707035,0.30766925,3
95931187,95893786,8944899,-0.07721988,0.17633277,0.36890587,3
95981122,95962458,8944899,-0.048272803,0.17244878,0.38489655,3
96068156,96030926,8944899,0.0073478203,0.106398635,0.30197707,3
96119070,96100386,8944899,-0.016080849,0.20929015,0.35537228,3
96206275,96168962,8944899,-0.05316501,0.24558549,0.28173167,3
96256058,96237383,8944899,0.0038203204,0.15322782,0.2421266,3
96344635,96306289,8944899,-0.014298489,0.19686374,0.33239424,3
96394082,96375130,8944899,-0.030530231,0.22907695,0.3127083,3
96481795,96443884,8944899,0.012634353,0.15810299,0.33040887,3
96530745,96512096,8944899,-0.10127094,0.15245828,0.33740735,3
96619181,96581332,8944899,-0.01531492,0.14249614,0.32255703,3
96669020,96650230,8944899,0.01757521,0.13426393,0.37434512,3
96756102,96718907,8944899,-0.057519842,0.21097812,0.34099948,3
96805925,96787240,8944899,0.020891558,0.18637979,0.33936176,3
96893946,96856304,8944899,0.011526657,0.14962693,0.32889992,3
96944736,96925287,8944899,-0.035704695,0.20403096,0.3045955,3
97031616,96993865,8944899,0.05347963,0.17431746,0.29873967,3
97080691,97062038,8944899,-0.010421502,0.2142869,0.335477,3
97169261,97131604,8944899,0.00045294582,0.18798344,0.31273884,3
97218721,97200076,8944899,0.012571975,0.1611899,0.35054168,3
97305704,97268407,8944899,0.015983203,0.20861837,0.29392108,3
97355639,97337461,8944899,0.057587944,0.20324835,0.38034147,3
97444718,97406646,8944899,-0.071116425,0.21908726,0.31757164,3
97493475,97474814,8944899,-0.04733876,0.23006593,0.35390472,3
97580708,97543365,8944899,-0.0026996892,0.11880197,0.3434439,3
97631734,97612428,8944899,-0.038722053,0.20650652,0.33179188,3
97718648,97681320,8944899,-0.03398121,0.20310555,0.31202203,3
97768478,97749722,8944899,0.00087593496,0.19550532,0.35675368,3
97856604,97818608,8944899,-0.061186843,0.1853996,0.2845006,3
97906325,97887720,8944899,0.03548822,0.13075806,0.2921704,3
97993993,97956327,8944899,-0.04885976,0.21739583,0.33636078,3
98043310,98024669,8944899,0.0038428982,0.1942415,0.3580649,3
98131479,98093691,8944899,-0.01105676,0.18252026,0.3058884,3
98181487,98162980,8944899,-0.071692936,0.20366275,0.30148995,3
98268456,98231295,8944899,0.0058174343,0.17718825,0.312073,3
98318191,98299630,8944899,-0.025000723,0.1840747,0.3970224,3
98406605,98368555,8944899,-0.105738565,0.22733968,0.32017133,3
98456233,98437629,8944899,-0.088803016,0.2034316,0.33888316,3
98543294,98505967,8944899,-0.062293515,0.12682955,0.34540737,3
98593395,98574824,8944899,-0.08929731,0.2063465,0.3009208,3
98681392,98643752,8944899,0.015353025,0.16889639,0.30826733,3
98731248,98712642,8944899,-0.062327735,0.18544006,0.33296335,3
98818456,98781025,8944899,-0.04454477,0.1999475,0.3630558,3
98869170,98849767,8944899,-0.0747022,0.08500922,0.3000336,3
98956404,98918928,8944899,-0.06982248,0.19522828,0.30678305,3
99006082,98987428,8944899,0.026162453,0.19030389,0.27821356,3
99093124,99055908,8944899,-0.026678456,0.22662087,0.34985235,3
99144462,99125406,8944899,-0.1037629,0.29804403,0.32172048,3
99231503,99193971,8944899,-0.025151033,0.16282482,0.31309578,3
99280921,99262289,8944899,-0.033170238,0.21793018,0.35567087,3
99368134,99330685,8944899,-0.024816591,0.20770659,0.260661,3
99418950,99400279,8944899,0.021665689,0.20725413,0.36299545,3
99505955,99468724,8944899,-0.09909887,0.21980211,0.328928,3
99556658,99537409,8944899,-0.016531445,0.16431417,0.35038126,3
