timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
89096009,-1.4206171,0.20259412,nan,0.33326933,0.2318685,0.7,0.05332958,0.80998266,26.188042,0.0006503466,0.009877624,-0.119591005,-0.28896466,-0.0029745838
89201790,-1.4206171,0.20259412,nan,0.31984514,0.2599153,0.7,0.122875154,0.90367514,27.569035,0.0014970985,0.011010287,-0.11948444,-0.2973097,-0.00092034484
89297242,-1.4206171,0.20259412,nan,0.30413163,0.27987155,0.7,0.020705204,0.71938854,27.70134,0.00025268394,0.008779336,-0.11967815,-0.3143565,-0.01901861
89392591,-1.4206171,0.20259412,nan,0.2781125,0.30263087,0.7,0.16126737,0.7936169,26.569859,0.0019666643,0.009678201,-0.11959291,-0.31248805,-0.01395624
89498508,-1.4206171,0.20259412,nan,0.24577723,0.31968302,0.7,0.23074266,0.64991426,25.04074,0.002816536,0.007933109,-0.11970435,-0.31863505,-0.0038092246
89593974,-1.4206171,0.20259412,nan,0.22445159,0.32862765,0.7161269,0.026843421,0.6480953,24.003082,0.00032775855,0.007913253,-0.11973835,-0.33825278,-0.001485969
89700114,-1.4206171,0.20259412,nan,0.19638287,0.32535318,0.80720115,-0.1021835,0.49089727,24.25516,-0.001248783,0.005999248,-0.11984344,-0.36218274,-0.00040485564
89795146,-1.4206171,0.20259412,nan,0.17227139,0.32011455,0.8843485,-0.13697413,0.036461294,23.38994,-0.0016758153,0.0004460871,-0.119987465,-0.35905442,-0.00014012243
89901093,-1.4206171,0.20259412,nan,0.15006725,0.3058503,0.9658476,0.31078723,0.69130266,22.884657,0.0037917,0.008434104,-0.119643174,-0.37014756,-4.3281223e-05
89996434,-1.4206171,0.20259412,nan,0.1361406,0.29163036,1.035774,0.0064039864,-0.25788057,21.674809,7.834035e-05,-0.0031546685,-0.1199585,-0.3630537,-1.4934935e-05
90102446,-1.4206171,0.20259412,nan,0.12313828,0.26422027,1.1073995,0.56165344,0.27186203,21.011826,0.00685885,0.0033199494,-0.11975781,-0.38816005,-4.611248e-06
90197722,-1.4206171,0.20259412,nan,0.11718501,0.2402331,1.1683754,0.3657725,-0.12956637,19.85426,0.004472327,-0.0015842174,-0.119906165,-0.37938344,-1.5909499e-06
90293427,-1.4206171,0.20259412,nan,0.1123793,0.20826514,1.2184325,0.36452705,0.2627305,19.248388,0.004456023,0.0032116496,-0.11987422,-0.38841763,-6.2102697e-07
90398980,-1.4206171,0.20259412,nan,0.10980878,0.18622679,1.2830358,0.025472134,0.17883195,18.141422,0.00031161465,0.0021877496,-0.11997965,-0.39529476,-1.6965596e-07
90494284,-1.4206171,0.20259412,nan,0.10045896,0.16482171,1.3258327,-0.048347555,0.13079083,17.8432,-0.00059176725,0.0016008614,-0.11998786,-0.40289623,-6.6086564e-08
