timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
89201430,2621474,2490402,2621474,2424842,0,1.163781,0.5888092,0.67168224,0.0,2621474,2490402,2621474,2424842,0,0.033854134,0.022416694,0.019486228,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
89397452,2621474,2490402,2621474,2424842,0,1.1697917,0.5322057,0.6396835,0.0,2621474,2490402,2621474,2424842,0,0.042812005,0.027111446,0.018550767,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
89598738,2621474,2490402,2621474,2424842,0,1.0611277,0.65350795,0.43808064,0.0,2621474,2490402,2621474,2424842,0,0.033420596,0.01895374,0.018992342,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
89800023,2621474,2490402,2621474,2424842,0,0.89675546,0.421389,0.55863154,0.0,2621474,2490402,2621474,2424842,0,0.018577486,0.023875669,0.026902046,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
90001309,2621474,2490402,2621474,2424842,0,0.4653084,0.33739138,0.48290163,0.0,2621474,2490402,2621474,2424842,0,0.03919641,0.0648493,0.05057862,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
90197366,2621474,2490402,2621474,2424842,0,1.1651738,0.6746653,0.5962394,0.0,2621474,2490402,2621474,2424842,0,0.041680027,0.03482286,0.05614868,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
90398605,2621474,2490402,2621474,2424842,0,0.90486735,0.6898582,0.35663354,0.0,2621474,2490402,2621474,2424842,0,0.056982838,0.03249419,0.03155586,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
90599952,2621474,2490402,2621474,2424842,0,0.9920324,0.40601835,0.8971685,0.0,2621474,2490402,2621474,2424842,0,0.06383273,0.0910831,0.03422548,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
90801144,2621474,2490402,2621474,2424842,0,0.89260095,0.63833773,0.45809898,0.0,2621474,2490402,2621474,2424842,0,0.056576252,0.009977159,0.05416282,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
91002470,2621474,2490402,2621474,2424842,0,0.7482133,0.541032,0.32358688,0.0,2621474,2490402,2621474,2424842,0,0.04468503,0.016874831,0.030011354,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
91198555,2621474,2490402,2621474,2424842,0,0.6577737,0.24005662,0.46008256,0.0,2621474,2490402,2621474,2424842,0,0.06937474,0.05247424,0.020355541,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
91399815,2621474,2490402,2621474,2424842,0,0.3479919,0.65378356,0.50294477,0.0,2621474,2490402,2621474,2424842,0,0.07736951,0.036276676,0.043066762,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
91601130,2621474,2490402,2621474,2424842,0,1.4098461,0.76092774,0.7172107,0.0,2621474,2490402,2621474,2424842,0,0.03808438,0.03432715,0.016848754,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
91802342,2621474,2490402,2621474,2424842,0,0.98730475,0.32572392,0.685417,0.0,2621474,2490402,2621474,2424842,0,0.044859134,0.0640231,0.036045227,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
91998413,2621474,2490402,2621474,2424842,0,0.6440792,0.36448643,0.4818729,0.0,2621474,2490402,2621474,2424842,0,0.05565668,0.037026837,0.021017041,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
92199785,2621474,2490402,2621474,2424842,0,0.64549017,0.86829925,0.68603003,0.0,2621474,2490402,2621474,2424842,0,0.062205445,0.061042365,0.019052722,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
92400986,2621474,2490402,2621474,2424842,0,0.9064276,0.59379506,0.51283634,0.0,2621474,2490402,2621474,2424842,0,0.04962949,0.06924684,0.030859493,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
92602387,2621474,2490402,2621474,2424842,0,0.44635433,0.6485538,0.41304436,0.0,2621474,2490402,2621474,2424842,0,0.096893996,0.04865986,0.049818594,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
92798256,2621474,2490402,2621474,2424842,0,0.16531324,0.12482038,0.12388904,0.0,2621474,2490402,2621474,2424842,0,0.03187864,0.04449054,0.019161243,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
92999589,2621474,2490402,2621474,2424842,0,0.5965962,0.3252079,0.46597978,0.0,2621474,2490402,2621474,2424842,0,0.05344272,0.076012336,0.023509216,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
93200853,2621474,2490402,2621474,2424842,0,1.0249262,0.5791601,0.68804985,0.0,2621474,2490402,2621474,2424842,0,0.0820943,0.03300208,0.049857825,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
93402110,2621474,2490402,2621474,2424842,0,0.4462352,0.328623,0.34366894,0.0,2621474,2490402,2621474,2424842,0,0.02795968,0.056271307,0.028954038,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
93598161,2621474,2490402,2621474,2424842,0,1.3957925,0.7700571,0.71214956,0.0,2621474,2490402,2621474,2424842,0,0.060267266,0.06917701,0.022167906,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
93799356,2621474,2490402,2621474,2424842,0,0.34193283,0.21376383,0.26555562,0.0,2621474,2490402,2621474,2424842,0,0.056105837,0.03126807,0.032328613,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
94000688,2621474,2490402,2621474,2424842,0,0.59066284,0.60989445,0.14565253,0.0,2621474,2490402,2621474,2424842,0,0.030158347,0.066255815,0.03767192,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
94201981,2621474,2490402,2621474,2424842,0,0.5598589,0.50298667,0.84144115,0.0,2621474,2490402,2621474,2424842,0,0.030270189,0.049131136,0.06962678,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
