timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
80631898,80631567,0.007131354,-0.0058066566,0.0020295058,1.1518612,-1.2301124,-2.5423892
80633217,80632900,0.010410119,-0.00993536,-0.007448374,1.4206377,-1.5976368,-3.4686728
80634661,80634315,0.00428865,-0.0023283367,0.0029688014,0.07924652,0.02949149,-0.9671742
80635899,80635581,-0.00848289,0.009920316,0.0060032066,-2.048517,2.0195072,-0.32287547
80637209,80636889,-0.02016332,0.013181115,-0.0038351156,-3.496562,2.0716774,-1.8598025
80638568,80638222,-0.022139747,0.010996483,0.0042332197,-3.0168164,1.2776436,-0.039596315
80639900,80639556,-0.017605439,0.014408529,0.028527297,-1.6012255,1.5734121,3.9509268
80641240,80640894,-0.016539013,0.010591377,0.039102394,-1.1064786,0.5446482,4.746319
80642571,80642223,-0.024255684,-0.011904219,0.034030892,-2.1738145,-3.31317,2.857088
80643877,80643554,-0.033280004,-0.030404959,0.028966922,-3.1690612,-5.5515313,1.3971556
80645203,80644887,-0.041228693,-0.02087669,0.019354902,-3.7818549,-2.6801956,-0.51613265
80646470,80646129,-0.040402077,0.0021789887,0.0008654432,-2.7612383,1.7077277,-3.4555657
80647810,80647462,-0.025012322,0.022848587,-0.019260075,0.41649216,4.69797,-5.9969273
80649110,80648795,0.0009809772,0.027158938,-0.028992284,4.591066,4.2965913,-6.229484
80650446,80650128,0.019624125,0.011233328,-0.023856895,6.590567,0.66539544,-3.9851146
80651784,80651461,0.03004919,-0.024118176,-0.022831015,6.847842,-5.325498,-2.9889972
80653113,80652797,0.033314534,-0.05109776,-0.033094514,5.8754516,-8.483437,-4.023385
80654447,80654127,0.030652858,-0.044365853,-0.028184123,4.130785,-5.4034247,-2.258135
80655897,80655547,0.018810729,-0.011100717,-0.008361928,1.2464579,1.2853594,1.4862752
80657189,80656857,0.0049170433,0.023870341,-0.002314055,-1.2968638,6.7050743,2.0862231
80658414,80658099,0.0015382968,0.037123796,-0.019202724,-1.5090648,7.3164806,-1.2042657
80659749,80659433,0.01219316,0.020567643,-0.03860417,0.60897386,2.9161289,-4.086411
80661104,80660765,0.026122075,-0.011127075,-0.043292064,2.7487438,-2.926188,-3.932431
80662438,80662098,0.023888681,-0.033829805,-0.049338784,1.6784239,-5.944859,-4.0951514
80663770,80663431,-0.0031640597,-0.029117228,-0.060719438,-3.1696792,-3.7807045,-5.0500937
80665039,80664722,-0.022934776,-0.0069223386,-0.061609667,-5.6609144,0.72773486,-4.047776
80666346,80666007,-0.02608371,0.025001857,-0.05815947,-4.890906,5.8187766,-2.6046712
80667681,80667341,-0.023488417,0.047192972,-0.055776827,-3.418487,8.106104,-1.650067
80669066,80668723,-0.02731325,0.03743985,-0.045408167,-3.3079617,4.6173134,0.4802672
80670308,80669965,-0.023501005,0.0022926815,-0.017272517,-1.9171706,-2.2061164,5.0427384
80671638,80671302,-0.0061048614,-0.032715663,0.008881254,1.3999627,-7.416213,8.169389
80672976,80672631,0.016042525,-0.046804063,0.0019081254,4.7005014,-8.0259285,5.09753
80674313,80673968,0.025055794,-0.035397243,-0.03131163,5.0957985,-4.31967,-1.5010417
80675638,80675321,0.024646219,-0.0057693264,-0.05314861,3.8712635,1.5252135,-4.6525173
80676970,80676654,0.020420518,0.028010782,-0.038467105,2.3301294,6.7146535,-1.1108007
80678419,80678102,0.021860845,0.04315521,-0.017684909,2.072001,7.638577,2.4685097
80679665,80679349,0.020573672,0.029325804,-0.02297513,1.389689,3.583994,1.0129575
80680908,80680593,0.018299911,-0.0145229865,-0.019017689,0.72619224,-4.443105,1.5450013
80682244,80681930,0.014856807,-0.052346613,0.007625551,-0.012073968,-9.589102,5.608053
80683573,80683259,0.010014109,-0.055432297,0.02606525,-0.7954935,-7.8705087,7.3347206
80684911,80684589,0.0056657353,-0.023076996,0.024444327,-1.3410771,-0.74377066,5.402353
80686256,80685940,0.00091579335,0.025577882,0.013937175,-1.8275973,7.4127955,2.5078344
80687500,80687184,-0.014639797,0.058483735,0.009340527,-4.0236845,11.085653,1.230805
80688833,80688518,-0.03460588,0.05034761,0.013837135,-6.405244,7.1756115,1.7078396
80690163,80689849,-0.043947954,0.00857134,0.015729869,-6.464854,-1.3301166,1.6177375
80691508,80691182,-0.028065199,-0.03773042,0.008739434,-2.378987,-8.585564,0.07450834
80692831,80692515,-0.014832504,-0.053346135,-0.009005199,0.25070655,-9.146417,-2.8748677
80694163,80693849,-0.02441596,-0.03490461,-0.023972083,-1.4672567,-4.004691,-4.6596355
80695517,80695203,-0.046590056,0.0084403865,-0.023523023,-4.777482,4.0376835,-3.5002716
80696841,80696524,-0.05315734,0.051031,-0.0026689647,-4.7120857,10.104235,0.74945945
80698177,80697860,-0.02727958,0.06518288,0.023424925,0.67905873,10.081299,4.8304906
80699440,80699122,0.010316745,0.040301483,0.028158097,6.690848,3.657992,4.472519
80700752,80700434,0.03177919,-0.015266001,0.01919862,8.6703005,-6.3294263,2.019567
80702125,80701806,0.031053916,-0.06390645,0.020562846,6.5914655,-12.844419,1.8559812
80703442,80703121,0.021748453,-0.07346902,0.03312291,3.6096396,-11.425677,3.5140345
80704751,80704434,0.017902179,-0.0359261,0.031882055,2.1976242,-2.6435637,2.4620707
80706086,80705767,0.013778197,0.017230295,0.015139141,1.0354246,6.66796,-0.83065987
80707438,80707121,0.011304657,0.05631765,0.015962146,0.41053584,11.539259,-0.40722787
80708749,80708432,0.010255914,0.0628941,0.04020708,0.1675654,9.96791,3.6975272
80710082,80709767,0.015489049,0.02831185,0.060672678,1.0135392,1.9642262,6.1836057
80711445,80711123,0.017013263,-0.029871665,0.058660544,1.0137281,-8.041416,4.4336767
80712693,80712374,0.0037639327,-0.07256875,0.049250405,-1.4533749,-13.156083,1.9286453
80714020,80713706,-0.027009392,-0.061870582,0.045185022,-6.241157,-8.320925,0.8573412
80715354,80715038,-0.055185728,-0.012199292,0.04533549,-9.438162,1.7113922,0.6985234
80716692,80716372,-0.054177508,0.03298343,0.041844893,-7.0947137,8.677584,-0.046598945
80718021,80717705,-0.035463087,0.04907149,0.038814336,-2.4390585,9.3022585,-0.5045955
80719358,80719038,-0.01649817,0.03322946,0.043894935,1.201812,4.5651355,0.45967832
80720690,80720371,-0.006179029,-0.0025623008,0.04377645,2.590439,-2.3477623,0.28968802
80721933,80721614,0.0014235198,-0.034052093,0.031072542,3.2644517,-6.938951,-1.890112
80723387,80723069,0.007682491,-0.038959224,0.015893487,3.548424,-6.121809,-3.959289
80724647,80724333,0.006844064,-0.017304543,0.00787683,2.6081684,-1.1607901,-4.3790226
80725967,80725644,-0.00433313,0.010147711,0.0025608204,0.1861436,3.5696273,-4.3013034
80727314,80726982,-0.012909011,0.021613235,-0.0070632203,-1.2080604,4.598021,-4.9437857
80728549,80728234,-0.0039335163,0.013185451,-0.007233817,0.5942665,2.1566029,-3.8283143
80729887,80729568,0.028775208,-0.008514473,0.009154968,5.874527,-1.9027388,-0.264564
80731267,80730943,0.06050151,-0.035917826,0.025125243,9.725177,-5.9789877,2.379298
80732548,80732234,0.06948824,-0.0513201,0.024814392,8.965157,-7.1148944,1.7369982
80733889,80733567,0.045032885,-0.032001987,0.010197199,2.900683,-2.2830837,-1.0589231
80735216,80734898,0.013874005,0.004719957,0.00019706995,-2.7984276,4.2459707,-2.432424
80736546,80736232,-0.0003404261,0.029624637,-0.0009474142,-4.445532,7.3312297,-2.064761
80737885,80737567,0.0028818173,0.024965676,0.00037693878,-2.9269145,4.8736143,-1.4074908
80739216,80738898,0.002156261,-0.005058743,-0.005335311,-2.4477947,-1.1925207,-2.067663
80740550,80740232,-0.010199685,-0.04628079,-0.01502041,-3.9878068,-7.680993,-3.19847
80741839,80741523,-0.029567922,-0.05569484,-0.017776655,-6.284408,-7.3824053,-2.91664
80743128,80742808,-0.029428137,-0.020912807,-0.011516888,-4.7899613,0.050647117,-1.2313415
80744461,80744143,-0.005549917,0.031127313,-0.009956054,0.2286026,8.591919,-0.7531861
80745873,80745558,0.010828597,0.06693805,-0.022979232,2.7802265,12.4723215,-2.7746902
80747154,80746832,-0.006502119,0.057077616,-0.03650788,-0.7811272,7.9506702,-4.3324413
80748452,80748133,-0.041968614,0.0037336708,-0.024659347,-6.4407973,-2.640044,-1.3494555
80749787,80749470,-0.052252024,-0.053916596,-0.007100667,-6.584311,-11.468127,1.7729853
80751121,80750797,-0.026344623,-0.081339516,-0.01608686,-0.806368,-13.323034,-0.19309172
80752447,80752132,0.0050877314,-0.06840372,-0.047055576,4.4915166,-8.15481,-5.25659
80753780,80753466,0.00847609,-0.022650946,-0.06376763,3.9551759,1.2272921,-6.7398434
80755118,80754799,-0.0076798024,0.037951533,-0.055828676,0.42211264,10.905994,-3.919323
80756357,80756042,-0.015947605,0.073109075,-0.056153394,-0.976595,14.125663,-3.193886
80757690,80757375,-0.002815428,0.049423758,-0.07139277,1.465143,6.9319015,-4.99604
80759026,80758709,0.021123372,-0.021577483,-0.07209681,5.0823927,-6.3054647,-3.9429853
80760356,80760041,0.027529882,-0.08505908,-0.056681927,4.933858,-15.239176,-0.53386617
80761697,80761374,0.001069202,-0.09371499,-0.048622664,-0.55928653,-13.108655,0.84762955
80763021,80762707,-0.030100578,-0.052900527,-0.052951522,-5.492074,-3.4457593,-0.06549045
80764360,80764040,-0.032610618,0.009468038,-0.05341321,-4.57291,7.581257,-0.09012495
80765690,80765373,-0.0080661755,0.061683554,-0.040986534,0.5124479,14.399294,2.008682
80767151,80766824,0.013733591,0.071490265,-0.023935685,3.9150927,12.68469,4.366133
80768414,80768094,0.012416338,0.031430118,-0.011365366,2.762675,3.2035475,5.468166
80769688,80769371,-0.003094672,-0.026801266,0.004464993,-0.42289287,-7.0225496,6.8999047
80770975,80770654,-0.01716459,-0.05544664,0.023216082,-2.6177182,-10.040587,8.455995
80772263,80771947,-0.020096129,-0.04105525,0.028627561,-2.5043252,-5.3450956,7.4220247
80773594,80773279,-0.017188558,0.0015753494,0.01493651,-1.4552419,2.8582628,3.5121083
80774926,80774612,-0.011435227,0.045869112,0.002598512,-0.19309,9.462097,0.7591705
80776292,80775977,-0.008316777,0.066159636,0.008003107,0.37413523,10.588401,1.5502697
80777591,80777277,-0.0034442989,0.045869373,0.025605503,1.1082543,4.803644,4.106866
80778929,80778611,0.0060070874,-0.0019769787,0.03924089,2.455515,-4.151507,5.4246078
80780291,80779946,0.024899777,-0.045708925,0.0449475,5.040013,-10.341567,5.15598
80781621,80781277,0.040887613,-0.052937407,0.049395364,6.52643,-9.12266,4.7715135
80782958,80782610,0.044639297,-0.022235481,0.05604911,5.666816,-1.9642761,4.8190155
80784174,80783853,0.03212907,0.03177046,0.0553327,2.334474,7.3533607,3.601003
80785507,80785185,0.014381076,0.06908973,0.042854406,-1.0835803,11.757988,0.73630273
80786866,80786519,0.004920544,0.059777766,0.03219633,-2.347114,7.491407,-1.1318251
80788195,80787854,0.0099449735,0.010988241,0.04285737,-0.9757539,-2.2363055,0.9412344
80789507,80789185,0.019735657,-0.03640466,0.062026277,0.82512915,-9.448151,3.845108
80790937,80790613,0.015899358,-0.04666954,0.056773875,-0.045812313,-8.937341,2.0421474
80792181,80791866,0.0033248947,-0.018534888,0.038960177,-2.0976396,-2.2638083,-1.3071824
80793515,80793196,-0.0010418715,0.03380789,0.037213568,-2.2979124,6.8557005,-1.239853
80794846,80794528,0.008209267,0.0781735,0.045850877,-0.24672462,12.545051,0.4362253
80796108,80795769,0.017029777,0.07350621,0.043135893,1.2177105,8.836946,-0.15890168
80797418,80797102,0.0101268,0.016719552,0.03250654,-0.24460645,-2.5087497,-1.8652173
80798749,80798435,-0.0042625815,-0.04475833,0.030530512,-2.5531085,-11.955018,-1.7382373
80800086,80799770,-0.008478019,-0.06299094,0.036746886,-2.6275403,-12.154709,-0.33276334
80801420,80801101,0.005866958,-0.032496363,0.030419793,0.34754264,-4.374171,-1.3731825
80802754,80802435,0.022291169,0.01905547,0.0052448846,2.9524052,5.0137944,-5.233436
80804160,80803812,0.025667574,0.053874325,-0.015985295,2.796162,9.528824,-7.514854
80805371,80805055,0.012970063,0.056397397,-0.011878901,0.06226035,7.7282896,-5.095358
80806708,80806389,0.008984019,0.02098506,0.010959375,-0.5373402,0.11917004,-0.22333531
80808037,80807722,0.02768715,-0.035171203,0.021033289,2.7050037,-9.107387,1.395725
80809398,80809053,0.048547998,-0.07064612,0.014084314,5.491366,-12.786381,-0.064305894
80810724,80810386,0.042807214,-0.058958504,0.01599602,3.220324,-7.904191,0.3259423
80812176,80811842,0.009969393,-0.012065435,0.027053978,-2.9248915,1.5772324,2.0592394
80813422,80813107,-0.028257942,0.033813156,0.022905147,-8.52658,8.690115,0.8551358
80814687,80814349,-0.04380482,0.04734437,0.00435315,-9.099853,8.868026,-2.389128
80816021,80815682,-0.03554212,0.026067125,-0.0019247609,-5.695478,3.326003,-2.8122396
80817344,80817029,-0.013748733,-0.018834438,0.010556165,-0.8558453,-4.8180885,-0.13901216
80818693,80818378,0.00022565527,-0.05539763,0.005754235,1.5535709,-9.683795,-1.0061644
80819960,80819622,-0.0060561085,-0.061639857,-0.023821529,0.11814402,-8.4717455,-5.6705623
80821307,80820994,-0.024487555,-0.029322198,-0.040950578,-2.9348178,-1.1666819,-7.148207
80822625,80822311,-0.038792185,0.028300248,-0.040254317,-4.6183844,8.575763,-5.4619474
80823955,80823635,-0.052896228,0.0714364,-0.055255227,-5.929871,13.644763,-6.815044
80825282,80824968,-0.0667612,0.059600268,-0.08231176,-6.9030185,8.507163,-9.737184
80826639,80826323,-0.064060576,0.0052837185,-0.083217554,-4.8557816,-2.347001,-7.636404
80827894,80827565,-0.033213604,-0.04238071,-0.060167823,1.3351153,-9.55543,-2.1701746
80829215,80828898,0.00015103677,-0.054998685,-0.056997783,6.4699,-9.4155655,-1.3001444
80830544,80830231,0.0038901414,-0.039032627,-0.08758859,5.548932,-4.669026,-6.1115985
80831895,80831563,-0.011239426,-0.007919446,-0.115257815,1.8483586,1.5051888,-9.211588
