timestamp,mode_req_angular_velocity,mode_req_attitude,mode_req_local_alt,mode_req_local_position,mode_req_local_position_relaxed,mode_req_global_position,mode_req_mission,mode_req_offboard_signal,mode_req_home_position,mode_req_wind_and_flight_time_compliance,mode_req_prevent_arming,mode_req_manual_control,mode_req_other,angular_velocity_invalid,attitude_invalid,local_altitude_invalid,local_position_invalid,local_position_invalid_relaxed,local_velocity_invalid,global_position_invalid,auto_mission_missing,offboard_control_signal_lost,home_position_invalid,manual_control_signal_lost,gcs_connection_lost,battery_warning,battery_low_remaining_time,battery_unhealthy,geofence_breached,mission_failure,vtol_fixed_wing_system_failure,wind_limit_exceeded,flight_time_limit_exceeded,local_position_accuracy_low,fd_critical_failure,fd_esc_arming_failure,fd_imbalanced_prop,fd_motor_failure
101374967,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101485166,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101595358,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101706071,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101816170,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101926159,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102466922,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102798125,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103228927,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103328261,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103770333,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103990160,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104210093,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104310714,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104420494,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104641546,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105191229,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105731336,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105841220,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106171241,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106381645,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106812247,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106922075,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107032435,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107313668,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107425046,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107527221,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107637110,8311934,8310910,8261758,8257592,68,56,8,16384,32,2621464,3944480,33863,2139095040,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
