timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
86198085,86197520,0.99781567,0.023718856,0.03193811,-0.05273907,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86251169,86250560,0.99806935,-0.026005223,0.012248069,-0.055057526,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86298718,86298180,0.9985018,0.0062435726,-0.0023891465,-0.05431017,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86351716,86351168,0.99692965,0.06101157,0.007733554,-0.048468087,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86399797,86398828,0.99809074,0.02774843,0.029284602,-0.04676963,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86452354,86451831,0.9982957,-0.030958911,0.017978886,-0.046087492,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86499958,86499429,0.9990047,0.0010696895,0.0088768955,-0.04370125,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86547698,86547150,0.99821377,0.04391802,0.0035385133,-0.040348914,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86600688,86600115,0.99901074,0.0025389637,-0.010230448,-0.043203652,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86648299,86647735,0.9986039,-0.022672605,-0.014573018,-0.04543025,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86701334,86700764,0.9986227,0.034301348,-0.0064284,-0.039178148,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86748935,86748418,0.997979,0.05255036,0.017058518,-0.0313946,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86801937,86801373,0.9993272,-0.00079131173,0.015603031,-0.033184674,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86849711,86849066,0.999152,-0.025828924,-0.016651906,-0.027404446,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86897369,86896855,0.99924964,0.021749021,-0.016625755,-0.02740192,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86950237,86949720,0.9984232,0.051040996,0.003867815,-0.02304372,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
86997972,86997423,0.9995579,0.009554806,0.002443724,-0.028049905,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87050956,87050345,0.9994065,-0.018853968,-0.0010107288,-0.028812291,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87098680,87098082,0.9991745,0.025567489,0.009323064,-0.03016486,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87151633,87151087,0.99888283,0.031485245,0.006658906,-0.0346034,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87199233,87198692,0.9989255,-0.01082227,-0.010171452,-0.043901153,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87252237,87251638,0.998911,0.010876135,-0.011021021,-0.044011433,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87299906,87299329,0.99816555,0.041188985,-0.008039992,-0.043638363,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87352785,87352269,0.9986131,-0.002308215,-0.017695026,-0.049532693,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87400539,87399972,0.9980291,-0.027656158,-0.028442323,-0.048621763,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87448214,87447621,0.99843293,0.011666463,-0.025823807,-0.048257086,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87501106,87500592,0.9983372,0.026304184,-0.014389037,-0.049233757,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87548886,87548327,0.998162,-0.012477712,-0.021903576,-0.055110928,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87601791,87601231,0.99738,-0.0150183225,-0.03407027,-0.062022824,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87649548,87648939,0.9968804,0.015962,-0.02914596,-0.071590126,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87702438,87701889,0.9960898,0.0008854469,-0.025344577,-0.0846291,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87750495,87749598,0.99480456,-0.009017008,-0.04224933,-0.09218275,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87797767,87797252,0.99391097,0.020431217,-0.05083721,-0.0955998,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87850895,87850228,0.99382144,0.0099655315,-0.047028936,-0.10003989,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87898549,87897937,0.9923964,-0.024165759,-0.04345162,-0.112594284,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87951413,87950884,0.9933553,-0.007035204,-0.035818767,-0.10914594,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
87999117,87998571,0.9933992,-0.0086425785,-0.04182998,-0.10645954,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
88052113,88051514,0.99220115,-0.02876717,-0.055292208,-0.10794496,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
88099818,88099299,0.9917832,-0.012893609,-0.059505906,-0.11251237,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
88152716,88152174,0.99122864,-0.014798396,-0.06240659,-0.11555207,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
88200345,88199831,0.99148875,-0.013001286,-0.062287573,-0.113584824,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
88248023,88247481,0.9924683,0.003841489,-0.048873458,-0.112265185,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
88301093,88300555,0.99241763,-0.01126172,-0.059951007,-0.10670763,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
88348665,88348143,0.99144894,-0.017138187,-0.07490142,-0.105475314,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
88401601,88401079,0.99249214,-0.020766823,-0.054612704,-0.10745052,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
88449694,88448843,0.99309886,-0.005183716,-0.049385883,-0.10624949,0.99999756,-0.00025172863,0.0017616232,0.0013075777,3
