timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
105675741,105675724,0.15467082,8.603615e-06,-22.153131,40.365692,1.3508755,42.437214,1
105781746,105781728,0.15443602,8.545811e-06,3.8160396,41.676052,0.038823675,41.53535,1
105877116,105877098,0.15415724,8.491014e-06,-5.6203246,42.018055,0.08353036,41.896286,1
105972720,105972703,0.15371916,8.454696e-06,15.814443,44.652916,0.62232244,45.700867,1
106078350,106078332,0.15396437,8.4192e-06,0.3613763,46.08961,0.0003148283,45.823235,1
106174914,106174896,0.15366733,8.388006e-06,0.5207561,44.764977,0.00067311287,44.478867,1
106280019,106280001,0.15375967,8.358918e-06,20.421871,44.289345,1.0462834,46.25435,1
106375115,106375097,0.15360354,8.330123e-06,4.11444,46.905106,0.040101334,46.705692,1
106481018,106480999,0.15403512,8.297392e-06,0.5440861,47.268444,0.0006958593,46.99194,1
106576252,106576234,0.15416521,8.267117e-06,-10.472674,46.200798,0.26376867,46.476974,1
106682256,106682234,0.15374844,8.236446e-06,-11.516996,47.723396,0.3088194,48.17269,1
106777710,106777692,0.15373188,8.209591e-06,-10.191868,48.326786,0.23882355,48.617405,1
106830663,0,nan,nan,nan,nan,nan,nan,0
