timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
89127873,89020886,2621474,-0.0022424604,-0.000758347,0.0009834109,0.15,2.0421817e-07,2.0397209e-07,9.688198e-07,2621474,-0.011102618,-0.011369982,-0.013924447,0.4,0.005976035,0.005997278,2.0393469e-05,8944899,-0.021513663,-0.054245826,0.025677208,0.5,0.0016693234,0.0017270054,0.0016675254,1,0,1,0,1,0
89149047,89042102,2621474,-0.0022475314,-0.00074064854,0.0009827093,0.15,2.0202624e-07,2.0140543e-07,9.681889e-07,2621474,-0.0072221486,-0.010109594,-0.013839821,0.4,0.005884058,0.0059249843,2.033701e-05,8944899,-0.021629868,-0.054230224,0.025741478,0.5,0.0016689204,0.0017259865,0.0016674973,1,0,1,0,1,0
89191523,89084428,2621474,-0.0022491917,-0.0007401529,0.0009940428,0.15,2.0246718e-07,2.0185269e-07,9.683129e-07,2621474,-0.0074760774,-0.009682157,-0.013845113,0.4,0.0058838953,0.005924527,2.0338686e-05,8944899,-0.03987448,-0.034933943,0.016933814,0.5,0.0014970512,0.0015509529,0.0015008695,1,0,1,0,1,0
89265662,89158632,2621474,-0.0022508125,-0.00073965796,0.0010050946,0.15,2.0324676e-07,2.0263863e-07,9.687733e-07,2621474,-0.0077094506,-0.009266352,-0.0138502335,0.4,0.0058837524,0.005924071,2.0343328e-05,8944899,-0.04594133,-0.027174296,0.014622534,0.5,0.0014163385,0.0014621406,0.0014293107,1,0,1,0,1,0
89329099,89222160,2621474,-0.002252407,-0.00073916704,0.0010159694,0.15,2.0391253e-07,2.0331063e-07,9.691261e-07,2621474,-0.0079328315,-0.008859462,-0.013855234,0.4,0.005883618,0.0059236283,2.0346863e-05,8944899,-0.05729803,-0.02363594,0.011071746,0.5,0.0013647588,0.0014055521,0.0013889207,1,0,1,0,1,0
89350770,89243343,2621474,-0.0022421097,-0.0006945013,0.0010267764,0.15,2.0184861e-07,2.0094183e-07,9.68964e-07,2621474,8.965714e-06,-0.010165818,-0.013888905,0.4,0.0058008647,0.0058578113,2.029188e-05,8944899,-0.057082668,-0.024142556,0.011226426,0.5,0.0013638806,0.0014047845,0.0013888802,1,0,1,0,1,0
89403403,89296298,2621474,-0.002243738,-0.0006940843,0.0010366538,0.15,2.0240141e-07,2.0150215e-07,9.692285e-07,2621474,-0.00019392376,-0.0097635975,-0.013893812,0.4,0.00580074,0.005857324,2.0294578e-05,8944899,-0.062492114,-0.021383233,0.008926153,0.5,0.0013254769,0.0013627395,0.0013632618,1,0,1,0,1,0
89466943,89359919,2621474,-0.002245259,-0.0006936942,0.001045877,0.15,2.0306878e-07,2.0217628e-07,9.696365e-07,2621474,-0.0003800432,-0.009388484,-0.013898382,0.4,0.0058006314,0.0058568884,2.0298221e-05,8944899,-0.06992876,-0.014206189,0.0071571614,0.5,0.001295292,0.0013307347,0.0013449901,1,0,1,0,1,0
89541045,89434037,2621474,-0.002246673,-0.00069332984,0.001054418,0.15,2.0384661e-07,2.029606e-07,9.701678e-07,2621474,-0.0005470934,-0.009038153,-0.013902636,0.4,0.005800535,0.005856468,2.0302774e-05,8944899,-0.0770214,-0.011350695,0.0051553603,0.5,0.0012664861,0.0013018156,0.0013219112,1,0,1,0,1,0
89551711,89444657,2621474,-0.0022625907,-0.00068924396,0.0010524179,0.15,2.0189316e-07,2.0074788e-07,9.698588e-07,2621474,-0.00032100815,-0.007088202,-0.014031893,0.4,0.005752328,0.005818855,2.0251151e-05,8944899,-0.0772066,-0.011260734,0.0051880823,0.5,0.0012655446,0.0013006666,0.0013218476,1,0,1,0,1,0
89604720,89497615,2621474,-0.0022639944,-0.0006890075,0.0010603516,0.15,2.0244653e-07,2.0130858e-07,9.701786e-07,2621474,-0.00048889784,-0.0067485133,-0.014036034,0.4,0.0057522184,0.0058184173,2.0253861e-05,8944899,-0.079533786,-0.011323749,-0.001194717,0.5,0.0012428203,0.0012779464,0.0013075239,1,0,1,0,1,0
89678765,89571827,2621474,-0.0022653025,-0.00068879547,0.0010677282,0.15,2.0322632e-07,2.0209518e-07,9.707422e-07,2621474,-0.0006346028,-0.0064286757,-0.014035372,0.4,0.005752122,0.0058180103,2.0258529e-05,8944899,-0.085038535,-0.009799019,-0.00046810703,0.5,0.0012249154,0.0012573493,0.0012979339,1,0,1,0,1,0
