timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
81551973,-0.016139934,-0.07379251,-0.03297568,5136,0,-0.4376233,2.3680775,-8.638682,5136,0,0,1,1
81557266,0.061709914,0.052236326,-0.039299123,5293,0,2.0852568,-2.3493373,-10.749002,5293,0,0,1,1
81562597,0.053729907,-0.028824335,-0.0073909964,5331,0,-0.065499276,-1.8105155,-9.489106,5331,0,0,1,1
81567837,-0.0009911485,0.030620629,-0.0004401054,5240,0,0.24612443,0.024684567,-9.85611,5240,0,0,1,1
81573198,0.02257297,-0.029947823,-0.04240969,5361,0,-1.9938087,1.1806935,-9.844727,5361,0,0,1,1
81578490,-0.011010723,0.002792823,0.00264083,5292,0,3.158819,3.498482,-10.243492,5292,0,0,1,1
81583736,0.055612262,-0.014603911,0.001435329,5246,0,-0.7287222,-1.5990585,-9.180705,5246,0,0,1,1
81589067,-0.016664056,0.007640141,0.033045325,5331,0,0.750612,-1.5874771,-10.164891,5331,0,0,1,1
81594334,-0.011438897,-0.02607648,0.050724987,5267,0,-4.6924043,-2.883537,-9.98287,5267,0,0,1,1
81599655,-0.014838103,0.035624627,0.009424864,5321,0,2.9174848,2.0726578,-9.407638,5321,0,0,1,1
81604988,-0.054551564,0.0025221845,-0.05011412,5333,0,-1.1102008,1.4652369,-9.495168,5333,0,0,1,1
81610230,0.004371071,-0.039587803,-0.033500247,5242,0,5.520657,0.22842222,-11.179592,5242,0,0,1,1
81615559,0.0038118593,0.029875372,-0.064957015,5329,0,-5.1445065,-3.5889764,-9.275164,5329,0,0,1,1
81620846,-0.0037101596,-0.06962684,-0.016815085,5287,0,0.9869618,0.83705646,-10.00945,5287,0,0,1,1
81626102,-0.024601996,0.08888434,-0.05426594,5256,0,-4.272526,0.08909481,-8.277586,5256,0,0,1,1
81631434,-0.012062871,-0.115604304,-0.054754633,5332,0,3.8443284,1.2133564,-10.929614,5332,0,0,1,1
81636847,-0.013766216,0.10993419,-0.056990933,5413,0,2.5128946,0.99880075,-9.950958,5413,0,0,1,1
81641996,0.06384335,-0.1231057,0.024971945,5149,0,-1.1562659,-2.4245346,-9.5772295,5149,0,0,1,1
81647328,-0.015636448,0.10701843,-0.0076263575,5332,0,-0.7171734,0.36489734,-10.3621855,5332,0,0,1,1
81652576,0.011415722,-0.094354674,0.024124397,5248,0,-3.7669694,-1.288434,-8.575219,5248,0,0,1,1
81657939,-0.023701454,0.059532158,0.051021244,5363,0,5.4700236,1.8023676,-11.316513,5363,0,0,1,1
