timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
84795040,-0.0,-0.0,-0.13942534,0.0,0.9975711,-0.0,0.0,-0.06965622,0.0,0.0,-0.001,0,0
84847643,-0.0,-0.0,-0.1391116,0.0,0.99758196,-0.0,0.0,-0.06949973,0.0,0.0,-0.001,0,0
84900685,-0.0,-0.0,-0.13931248,0.0,0.99757504,-0.0,0.0,-0.06959992,0.0,0.0,-0.001,0,0
84942972,-0.0,-0.0,-0.13896488,0.0,0.9975871,-0.0,0.0,-0.06942654,0.0,0.0,-0.001,0,0
84996283,-0.0,-0.0,-0.139005,0.0,0.99758565,-0.0,0.0,-0.06944656,0.0,0.0,-0.001,0,0
85048905,-0.0,-0.0,-0.13900733,0.0,0.9975856,-0.0,0.0,-0.069447726,0.0,0.0,-0.001,0,0
85101986,-0.0,-0.0,-0.13945234,0.0,0.9975701,-0.0,0.0,-0.06966969,0.0,0.0,-0.001,0,0
85144275,-0.0,-0.0,-0.13961376,0.0,0.9975645,-0.0,0.0,-0.0697502,0.0,0.0,-0.001,0,0
85197327,0.011416743,-0.028101623,-0.13850272,0.0,0.9974939,0.0047218828,-0.014411396,-0.06910805,0.0,0.0,-0.010145115,0,0
85250192,-0.0011682988,-0.03201184,-0.13850273,0.0,0.9974745,-0.001690173,-0.015926454,-0.06919647,0.0,0.0,-0.014504723,0,0
85292617,0.007868176,-0.008746256,-0.13850272,0.0,0.997587,0.0036220104,-0.004634818,-0.06917766,0.0,0.0,-0.015537895,0,0
85345964,0.003283843,0.0038992453,-0.13850273,0.0,0.99759966,0.0017728879,0.0018313315,-0.069198996,0.0,0.0,-0.019483104,0,0
85398607,-0.00819127,-0.0022681435,-0.1385027,0.0,0.99759376,-0.0041642766,-0.0008479432,-0.069200024,0.0,0.0,-0.035230204,0,0
85451468,0.004164634,-0.023119345,-0.13850272,0.0,0.997536,0.0012773218,-0.011675761,-0.069167234,0.0,0.0,-0.036324058,0,0
85493917,0.025011333,-0.009555124,-0.13850272,0.0,0.9975178,0.012144662,-0.0056310296,-0.06913021,0.0,0.0,-0.03268448,0,0
85547235,-0.029903548,-0.017007407,-0.13850272,0.0,0.9974467,-0.015503189,-0.0074477424,-0.06931262,0.0,0.0,-0.053193007,0,0
85599968,-0.0018183783,-0.0037388352,-0.13850273,0.0,0.99760085,-0.0010363642,-0.0018020227,-0.069197565,0.0,0.0,-0.05034595,0,0
85652722,-0.006644476,-0.012028448,-0.13850272,0.0,0.99757814,-0.0037303648,-0.005769858,-0.069214314,0.0,0.0,-0.049194474,0,0
